"document","topic","gamma"
"1939:Mr. Smith Goes to Washington",40,0.007
"1939:Mr. Smith Goes to Washington",41,0.219
"1939:Mr. Smith Goes to Washington",42,0.094
"1939:Mr. Smith Goes to Washington",43,0.001
"1939:Mr. Smith Goes to Washington",44,0.051
"1939:Mr. Smith Goes to Washington",45,0.082
"1939:Mr. Smith Goes to Washington",46,0.001
"1939:Mr. Smith Goes to Washington",47,0.001
"1939:Mr. Smith Goes to Washington",48,0.001
"1939:Mr. Smith Goes to Washington",49,0.001
"1939:Mr. Smith Goes to Washington",50,0.144
"1939:Ninotchka",1,0.017
"1939:Ninotchka",2,0.017
"1939:Ninotchka",3,0.017
"1939:Ninotchka",4,0.017
"1939:Ninotchka",5,0.017
"1939:Ninotchka",6,0.017
"1939:Ninotchka",7,0.017
"1939:Ninotchka",8,0.017
"1939:Ninotchka",9,0.017
"1939:Ninotchka",10,0.017
"1939:Ninotchka",11,0.017
"1939:Ninotchka",12,0.017
"1939:Ninotchka",13,0.017
"1939:Ninotchka",14,0.017
"1939:Ninotchka",15,0.017
"1939:Ninotchka",16,0.017
"1939:Ninotchka",17,0.017
"1939:Ninotchka",18,0.017
"1939:Ninotchka",19,0.017
"1939:Ninotchka",20,0.017
"1939:Ninotchka",21,0.183
"1939:Ninotchka",22,0.017
"1939:Ninotchka",23,0.017
"1939:Ninotchka",24,0.017
"1939:Ninotchka",25,0.017
"1939:Ninotchka",26,0.017
"1939:Ninotchka",27,0.017
"1939:Ninotchka",28,0.017
"1939:Ninotchka",29,0.017
"1939:Ninotchka",30,0.017
"1939:Ninotchka",31,0.017
"1939:Ninotchka",32,0.017
"1939:Ninotchka",33,0.017
"1939:Ninotchka",34,0.017
"1939:Ninotchka",35,0.017
"1939:Ninotchka",36,0.017
"1939:Ninotchka",37,0.017
"1939:Ninotchka",38,0.017
"1939:Ninotchka",39,0.017
"1939:Ninotchka",40,0.017
"1939:Ninotchka",41,0.017
"1939:Ninotchka",42,0.017
"1939:Ninotchka",43,0.017
"1939:Ninotchka",44,0.017
"1939:Ninotchka",45,0.017
"1939:Ninotchka",46,0.017
"1939:Ninotchka",47,0.017
"1939:Ninotchka",48,0.017
"1939:Ninotchka",49,0.017
"1939:Ninotchka",50,0.017
"1939:Of Mice and Men",1,0.001
"1939:Of Mice and Men",2,0.009
"1939:Of Mice and Men",3,0.001
"1939:Of Mice and Men",4,0.001
"1939:Of Mice and Men",5,0.001
"1939:Of Mice and Men",6,0.001
"1939:Of Mice and Men",7,0.001
"1939:Of Mice and Men",8,0.001
"1939:Of Mice and Men",9,0.001
"1939:Of Mice and Men",10,0.035
