"document","topic","gamma"
"1946:It'saWonderfulLife",47,0.08
"1946:It'saWonderfulLife",48,0.005
"1946:It'saWonderfulLife",49,0
"1946:It'saWonderfulLife",50,0.006
"1946:TheBestYearsofOurLives",1,0.001
"1946:TheBestYearsofOurLives",2,0
"1946:TheBestYearsofOurLives",3,0.001
"1946:TheBestYearsofOurLives",4,0.13
"1946:TheBestYearsofOurLives",5,0.001
"1946:TheBestYearsofOurLives",6,0
"1946:TheBestYearsofOurLives",7,0.001
"1946:TheBestYearsofOurLives",8,0.069
"1946:TheBestYearsofOurLives",9,0.047
"1946:TheBestYearsofOurLives",10,0
"1946:TheBestYearsofOurLives",11,0.335
"1946:TheBestYearsofOurLives",12,0
"1946:TheBestYearsofOurLives",13,0.02
"1946:TheBestYearsofOurLives",14,0
"1946:TheBestYearsofOurLives",15,0.024
"1946:TheBestYearsofOurLives",16,0
"1946:TheBestYearsofOurLives",17,0
"1946:TheBestYearsofOurLives",18,0
"1946:TheBestYearsofOurLives",19,0
"1946:TheBestYearsofOurLives",20,0
"1946:TheBestYearsofOurLives",21,0
"1946:TheBestYearsofOurLives",22,0.017
"1946:TheBestYearsofOurLives",23,0.041
"1946:TheBestYearsofOurLives",24,0.001
"1946:TheBestYearsofOurLives",25,0
"1946:TheBestYearsofOurLives",26,0
"1946:TheBestYearsofOurLives",27,0.022
"1946:TheBestYearsofOurLives",28,0.02
"1946:TheBestYearsofOurLives",29,0
"1946:TheBestYearsofOurLives",30,0
"1946:TheBestYearsofOurLives",31,0.001
"1946:TheBestYearsofOurLives",32,0.001
"1946:TheBestYearsofOurLives",33,0
"1946:TheBestYearsofOurLives",34,0
"1946:TheBestYearsofOurLives",35,0.001
"1946:TheBestYearsofOurLives",36,0
"1946:TheBestYearsofOurLives",37,0
"1946:TheBestYearsofOurLives",38,0
"1946:TheBestYearsofOurLives",39,0.039
"1946:TheBestYearsofOurLives",40,0.003
"1946:TheBestYearsofOurLives",41,0
"1946:TheBestYearsofOurLives",42,0.173
"1946:TheBestYearsofOurLives",43,0.013
"1946:TheBestYearsofOurLives",44,0
"1946:TheBestYearsofOurLives",45,0
"1946:TheBestYearsofOurLives",46,0.001
"1946:TheBestYearsofOurLives",47,0
"1946:TheBestYearsofOurLives",48,0.032
"1946:TheBestYearsofOurLives",49,0.005
"1946:TheBestYearsofOurLives",50,0
"1946:TheRazor'sEdge",1,0
"1946:TheRazor'sEdge",2,0
"1946:TheRazor'sEdge",3,0.002
"1946:TheRazor'sEdge",4,0.231
"1946:TheRazor'sEdge",5,0
"1946:TheRazor'sEdge",6,0.001
"1946:TheRazor'sEdge",7,0
"1946:TheRazor'sEdge",8,0
"1946:TheRazor'sEdge",9,0.018
"1946:TheRazor'sEdge",10,0.001
"1946:TheRazor'sEdge",11,0.097
"1946:TheRazor'sEdge",12,0.037
"1946:TheRazor'sEdge",13,0
"1946:TheRazor'sEdge",14,0
"1946:TheRazor'sEdge",15,0.092
"1946:TheRazor'sEdge",16,0
"1946:TheRazor'sEdge",17,0
"1946:TheRazor'sEdge",18,0.006
"1946:TheRazor'sEdge",19,0
"1946:TheRazor'sEdge",20,0.007
"1946:TheRazor'sEdge",21,0.001
"1946:TheRazor'sEdge",22,0.025
"1946:TheRazor'sEdge",23,0
"1946:TheRazor'sEdge",24,0.001
"1946:TheRazor'sEdge",25,0
"1946:TheRazor'sEdge",26,0
"1946:TheRazor'sEdge",27,0
"1946:TheRazor'sEdge",28,0
"1946:TheRazor'sEdge",29,0
"1946:TheRazor'sEdge",30,0
"1946:TheRazor'sEdge",31,0.006
"1946:TheRazor'sEdge",32,0
"1946:TheRazor'sEdge",33,0
"1946:TheRazor'sEdge",34,0
"1946:TheRazor'sEdge",35,0
"1946:TheRazor'sEdge",36,0.003
"1946:TheRazor'sEdge",37,0.001
"1946:TheRazor'sEdge",38,0.19
"1946:TheRazor'sEdge",39,0.005
"1946:TheRazor'sEdge",40,0
"1946:TheRazor'sEdge",41,0
"1946:TheRazor'sEdge",42,0.242
"1946:TheRazor'sEdge",43,0
"1946:TheRazor'sEdge",44,0
"1946:TheRazor'sEdge",45,0
"1946:TheRazor'sEdge",46,0
"1946:TheRazor'sEdge",47,0
"1946:TheRazor'sEdge",48,0
"1946:TheRazor'sEdge",49,0
"1946:TheRazor'sEdge",50,0.031
"1946:TheYearling",1,0.001
"1946:TheYearling",2,0.418
"1946:TheYearling",3,0
"1946:TheYearling",4,0
"1946:TheYearling",5,0
"1946:TheYearling",6,0.001
"1946:TheYearling",7,0.025
"1946:TheYearling",8,0
"1946:TheYearling",9,0
"1946:TheYearling",10,0
"1946:TheYearling",11,0.375
"1946:TheYearling",12,0
"1946:TheYearling",13,0
"1946:TheYearling",14,0
"1946:TheYearling",15,0
"1946:TheYearling",16,0
"1946:TheYearling",17,0
"1946:TheYearling",18,0
"1946:TheYearling",19,0
"1946:TheYearling",20,0.027
"1946:TheYearling",21,0
"1946:TheYearling",22,0.002
"1946:TheYearling",23,0
"1946:TheYearling",24,0
"1946:TheYearling",25,0
"1946:TheYearling",26,0.012
"1946:TheYearling",27,0
"1946:TheYearling",28,0.027
"1946:TheYearling",29,0.002
"1946:TheYearling",30,0
"1946:TheYearling",31,0
"1946:TheYearling",32,0.007
"1946:TheYearling",33,0
"1946:TheYearling",34,0
"1946:TheYearling",35,0
"1946:TheYearling",36,0.001
"1946:TheYearling",37,0
"1946:TheYearling",38,0
"1946:TheYearling",39,0.002
"1946:TheYearling",40,0.022
"1946:TheYearling",41,0
"1946:TheYearling",42,0.042
"1946:TheYearling",43,0
"1946:TheYearling",44,0
"1946:TheYearling",45,0
"1946:TheYearling",46,0
"1946:TheYearling",47,0
"1946:TheYearling",48,0.006
"1946:TheYearling",49,0
"1946:TheYearling",50,0.03
"1947:Crossfire",1,0
"1947:Crossfire",2,0
"1947:Crossfire",3,0
"1947:Crossfire",4,0.039
"1947:Crossfire",5,0
"1947:Crossfire",6,0
"1947:Crossfire",7,0
"1947:Crossfire",8,0
"1947:Crossfire",9,0.02
"1947:Crossfire",10,0
"1947:Crossfire",11,0.536
"1947:Crossfire",12,0
"1947:Crossfire",13,0
"1947:Crossfire",14,0
"1947:Crossfire",15,0.001
"1947:Crossfire",16,0
"1947:Crossfire",17,0
"1947:Crossfire",18,0
"1947:Crossfire",19,0.003
"1947:Crossfire",20,0
"1947:Crossfire",21,0
"1947:Crossfire",22,0.008
"1947:Crossfire",23,0.074
"1947:Crossfire",24,0.001
"1947:Crossfire",25,0
"1947:Crossfire",26,0
"1947:Crossfire",27,0
"1947:Crossfire",28,0
"1947:Crossfire",29,0
"1947:Crossfire",30,0
"1947:Crossfire",31,0
"1947:Crossfire",32,0
"1947:Crossfire",33,0
"1947:Crossfire",34,0
"1947:Crossfire",35,0
"1947:Crossfire",36,0
"1947:Crossfire",37,0.011
"1947:Crossfire",38,0
"1947:Crossfire",39,0.055
"1947:Crossfire",40,0
"1947:Crossfire",41,0.002
"1947:Crossfire",42,0.096
"1947:Crossfire",43,0.043
"1947:Crossfire",44,0.106
"1947:Crossfire",45,0
"1947:Crossfire",46,0
"1947:Crossfire",47,0.002
"1947:Crossfire",48,0
"1947:Crossfire",49,0
"1947:Crossfire",50,0.002
"1947:Gentleman'sAgreement",1,0
"1947:Gentleman'sAgreement",2,0
"1947:Gentleman'sAgreement",3,0
"1947:Gentleman'sAgreement",4,0.144
"1947:Gentleman'sAgreement",5,0.004
"1947:Gentleman'sAgreement",6,0
"1947:Gentleman'sAgreement",7,0
"1947:Gentleman'sAgreement",8,0.001
"1947:Gentleman'sAgreement",9,0.06
"1947:Gentleman'sAgreement",10,0.001
"1947:Gentleman'sAgreement",11,0.203
"1947:Gentleman'sAgreement",12,0
"1947:Gentleman'sAgreement",13,0
"1947:Gentleman'sAgreement",14,0
"1947:Gentleman'sAgreement",15,0
"1947:Gentleman'sAgreement",16,0
"1947:Gentleman'sAgreement",17,0.001
"1947:Gentleman'sAgreement",18,0.008
"1947:Gentleman'sAgreement",19,0
"1947:Gentleman'sAgreement",20,0
"1947:Gentleman'sAgreement",21,0
"1947:Gentleman'sAgreement",22,0.022
"1947:Gentleman'sAgreement",23,0
"1947:Gentleman'sAgreement",24,0
"1947:Gentleman'sAgreement",25,0
"1947:Gentleman'sAgreement",26,0
"1947:Gentleman'sAgreement",27,0.001
"1947:Gentleman'sAgreement",28,0
"1947:Gentleman'sAgreement",29,0
"1947:Gentleman'sAgreement",30,0
"1947:Gentleman'sAgreement",31,0
"1947:Gentleman'sAgreement",32,0
"1947:Gentleman'sAgreement",33,0.105
"1947:Gentleman'sAgreement",34,0
"1947:Gentleman'sAgreement",35,0.019
"1947:Gentleman'sAgreement",36,0
"1947:Gentleman'sAgreement",37,0
"1947:Gentleman'sAgreement",38,0.008
"1947:Gentleman'sAgreement",39,0.091
"1947:Gentleman'sAgreement",40,0
"1947:Gentleman'sAgreement",41,0.053
"1947:Gentleman'sAgreement",42,0.245
"1947:Gentleman'sAgreement",43,0
"1947:Gentleman'sAgreement",44,0.002
"1947:Gentleman'sAgreement",45,0.017
"1947:Gentleman'sAgreement",46,0
"1947:Gentleman'sAgreement",47,0
"1947:Gentleman'sAgreement",48,0.013
"1947:Gentleman'sAgreement",49,0
"1947:Gentleman'sAgreement",50,0.001
"1947:GreatExpectations",1,0.007
"1947:GreatExpectations",2,0
"1947:GreatExpectations",3,0
"1947:GreatExpectations",4,0.242
"1947:GreatExpectations",5,0
"1947:GreatExpectations",6,0.004
"1947:GreatExpectations",7,0.039
"1947:GreatExpectations",8,0
"1947:GreatExpectations",9,0
"1947:GreatExpectations",10,0
"1947:GreatExpectations",11,0.035
"1947:GreatExpectations",12,0.005
"1947:GreatExpectations",13,0.001
"1947:GreatExpectations",14,0.007
"1947:GreatExpectations",15,0
"1947:GreatExpectations",16,0
"1947:GreatExpectations",17,0
"1947:GreatExpectations",18,0
"1947:GreatExpectations",19,0
"1947:GreatExpectations",20,0.065
"1947:GreatExpectations",21,0
"1947:GreatExpectations",22,0.08
"1947:GreatExpectations",23,0.006
"1947:GreatExpectations",24,0
"1947:GreatExpectations",25,0
"1947:GreatExpectations",26,0.001
"1947:GreatExpectations",27,0
"1947:GreatExpectations",28,0.002
"1947:GreatExpectations",29,0
"1947:GreatExpectations",30,0
"1947:GreatExpectations",31,0
"1947:GreatExpectations",32,0
"1947:GreatExpectations",33,0
"1947:GreatExpectations",34,0
"1947:GreatExpectations",35,0.002
"1947:GreatExpectations",36,0
"1947:GreatExpectations",37,0
"1947:GreatExpectations",38,0.36
"1947:GreatExpectations",39,0
"1947:GreatExpectations",40,0
"1947:GreatExpectations",41,0
"1947:GreatExpectations",42,0.078
"1947:GreatExpectations",43,0
"1947:GreatExpectations",44,0
"1947:GreatExpectations",45,0.01
"1947:GreatExpectations",46,0
"1947:GreatExpectations",47,0
"1947:GreatExpectations",48,0
"1947:GreatExpectations",49,0.048
"1947:GreatExpectations",50,0.008
"1947:Miracleon34thStreet",1,0
"1947:Miracleon34thStreet",2,0.001
"1947:Miracleon34thStreet",3,0
"1947:Miracleon34thStreet",4,0.311
"1947:Miracleon34thStreet",5,0
"1947:Miracleon34thStreet",6,0.033
"1947:Miracleon34thStreet",7,0
"1947:Miracleon34thStreet",8,0.011
"1947:Miracleon34thStreet",9,0
"1947:Miracleon34thStreet",10,0.025
"1947:Miracleon34thStreet",11,0.136
"1947:Miracleon34thStreet",12,0.004
"1947:Miracleon34thStreet",13,0
"1947:Miracleon34thStreet",14,0.003
"1947:Miracleon34thStreet",15,0
"1947:Miracleon34thStreet",16,0
"1947:Miracleon34thStreet",17,0
"1947:Miracleon34thStreet",18,0
"1947:Miracleon34thStreet",19,0
"1947:Miracleon34thStreet",20,0
"1947:Miracleon34thStreet",21,0.005
"1947:Miracleon34thStreet",22,0.025
"1947:Miracleon34thStreet",23,0
"1947:Miracleon34thStreet",24,0
"1947:Miracleon34thStreet",25,0
"1947:Miracleon34thStreet",26,0
"1947:Miracleon34thStreet",27,0
"1947:Miracleon34thStreet",28,0.001
"1947:Miracleon34thStreet",29,0
"1947:Miracleon34thStreet",30,0
"1947:Miracleon34thStreet",31,0.001
"1947:Miracleon34thStreet",32,0
"1947:Miracleon34thStreet",33,0.025
"1947:Miracleon34thStreet",34,0
"1947:Miracleon34thStreet",35,0.01
"1947:Miracleon34thStreet",36,0.001
"1947:Miracleon34thStreet",37,0
"1947:Miracleon34thStreet",38,0
"1947:Miracleon34thStreet",39,0
"1947:Miracleon34thStreet",40,0
"1947:Miracleon34thStreet",41,0.007
"1947:Miracleon34thStreet",42,0.232
"1947:Miracleon34thStreet",43,0.02
"1947:Miracleon34thStreet",44,0
"1947:Miracleon34thStreet",45,0
"1947:Miracleon34thStreet",46,0
"1947:Miracleon34thStreet",47,0
"1947:Miracleon34thStreet",48,0.013
"1947:Miracleon34thStreet",49,0.138
"1947:Miracleon34thStreet",50,0
"1947:TheBishop'sWife",1,0
"1947:TheBishop'sWife",2,0
"1947:TheBishop'sWife",3,0
"1947:TheBishop'sWife",4,0.177
"1947:TheBishop'sWife",5,0
"1947:TheBishop'sWife",6,0
"1947:TheBishop'sWife",7,0
"1947:TheBishop'sWife",8,0.015
"1947:TheBishop'sWife",9,0
"1947:TheBishop'sWife",10,0
"1947:TheBishop'sWife",11,0.04
"1947:TheBishop'sWife",12,0
"1947:TheBishop'sWife",13,0.001
"1947:TheBishop'sWife",14,0.001
"1947:TheBishop'sWife",15,0
"1947:TheBishop'sWife",16,0.003
"1947:TheBishop'sWife",17,0
"1947:TheBishop'sWife",18,0.068
"1947:TheBishop'sWife",19,0.005
"1947:TheBishop'sWife",20,0.105
"1947:TheBishop'sWife",21,0.016
"1947:TheBishop'sWife",22,0.056
"1947:TheBishop'sWife",23,0
"1947:TheBishop'sWife",24,0
"1947:TheBishop'sWife",25,0
"1947:TheBishop'sWife",26,0
"1947:TheBishop'sWife",27,0
"1947:TheBishop'sWife",28,0.031
"1947:TheBishop'sWife",29,0
"1947:TheBishop'sWife",30,0.004
"1947:TheBishop'sWife",31,0
"1947:TheBishop'sWife",32,0
"1947:TheBishop'sWife",33,0
"1947:TheBishop'sWife",34,0.007
"1947:TheBishop'sWife",35,0
"1947:TheBishop'sWife",36,0
"1947:TheBishop'sWife",37,0
"1947:TheBishop'sWife",38,0.034
"1947:TheBishop'sWife",39,0
"1947:TheBishop'sWife",40,0
"1947:TheBishop'sWife",41,0
"1947:TheBishop'sWife",42,0.425
"1947:TheBishop'sWife",43,0
"1947:TheBishop'sWife",44,0.003
"1947:TheBishop'sWife",45,0.005
"1947:TheBishop'sWife",46,0
"1947:TheBishop'sWife",47,0.003
"1947:TheBishop'sWife",48,0
"1947:TheBishop'sWife",49,0
"1947:TheBishop'sWife",50,0
"1948:JohnnyBelinda",1,0
"1948:JohnnyBelinda",2,0.102
"1948:JohnnyBelinda",3,0
"1948:JohnnyBelinda",4,0.166
"1948:JohnnyBelinda",5,0
"1948:JohnnyBelinda",6,0
"1948:JohnnyBelinda",7,0.044
"1948:JohnnyBelinda",8,0
"1948:JohnnyBelinda",9,0
"1948:JohnnyBelinda",10,0
"1948:JohnnyBelinda",11,0.146
"1948:JohnnyBelinda",12,0.01
"1948:JohnnyBelinda",13,0
"1948:JohnnyBelinda",14,0
"1948:JohnnyBelinda",15,0
"1948:JohnnyBelinda",16,0
"1948:JohnnyBelinda",17,0
"1948:JohnnyBelinda",18,0
"1948:JohnnyBelinda",19,0
"1948:JohnnyBelinda",20,0
"1948:JohnnyBelinda",21,0
"1948:JohnnyBelinda",22,0.186
"1948:JohnnyBelinda",23,0
"1948:JohnnyBelinda",24,0
"1948:JohnnyBelinda",25,0
"1948:JohnnyBelinda",26,0.028
"1948:JohnnyBelinda",27,0
"1948:JohnnyBelinda",28,0.02
"1948:JohnnyBelinda",29,0.01
"1948:JohnnyBelinda",30,0
"1948:JohnnyBelinda",31,0.001
"1948:JohnnyBelinda",32,0.023
"1948:JohnnyBelinda",33,0.008
"1948:JohnnyBelinda",34,0
"1948:JohnnyBelinda",35,0
"1948:JohnnyBelinda",36,0
"1948:JohnnyBelinda",37,0
"1948:JohnnyBelinda",38,0
"1948:JohnnyBelinda",39,0.002
"1948:JohnnyBelinda",40,0
"1948:JohnnyBelinda",41,0.059
"1948:JohnnyBelinda",42,0.114
"1948:JohnnyBelinda",43,0.002
"1948:JohnnyBelinda",44,0.01
"1948:JohnnyBelinda",45,0
"1948:JohnnyBelinda",46,0
"1948:JohnnyBelinda",47,0
"1948:JohnnyBelinda",48,0
"1948:JohnnyBelinda",49,0.066
"1948:JohnnyBelinda",50,0
"1948:TheRedShoes",1,0
"1948:TheRedShoes",2,0
"1948:TheRedShoes",3,0
"1948:TheRedShoes",4,0.129
"1948:TheRedShoes",5,0
"1948:TheRedShoes",6,0
"1948:TheRedShoes",7,0.001
"1948:TheRedShoes",8,0
"1948:TheRedShoes",9,0
"1948:TheRedShoes",10,0
"1948:TheRedShoes",11,0
"1948:TheRedShoes",12,0
"1948:TheRedShoes",13,0
"1948:TheRedShoes",14,0
"1948:TheRedShoes",15,0.15
"1948:TheRedShoes",16,0
"1948:TheRedShoes",17,0
"1948:TheRedShoes",18,0.034
"1948:TheRedShoes",19,0.193
"1948:TheRedShoes",20,0.001
"1948:TheRedShoes",21,0
"1948:TheRedShoes",22,0
"1948:TheRedShoes",23,0
"1948:TheRedShoes",24,0
"1948:TheRedShoes",25,0
"1948:TheRedShoes",26,0
"1948:TheRedShoes",27,0
"1948:TheRedShoes",28,0
"1948:TheRedShoes",29,0
"1948:TheRedShoes",30,0
"1948:TheRedShoes",31,0
"1948:TheRedShoes",32,0
"1948:TheRedShoes",33,0
"1948:TheRedShoes",34,0.138
"1948:TheRedShoes",35,0
"1948:TheRedShoes",36,0
"1948:TheRedShoes",37,0.002
"1948:TheRedShoes",38,0.217
"1948:TheRedShoes",39,0
"1948:TheRedShoes",40,0
"1948:TheRedShoes",41,0
"1948:TheRedShoes",42,0.123
"1948:TheRedShoes",43,0
"1948:TheRedShoes",44,0
"1948:TheRedShoes",45,0.007
"1948:TheRedShoes",46,0
"1948:TheRedShoes",47,0.001
"1948:TheRedShoes",48,0
"1948:TheRedShoes",49,0
"1948:TheRedShoes",50,0
"1948:TheSnakePit",1,0
"1948:TheSnakePit",2,0
"1948:TheSnakePit",3,0
"1948:TheSnakePit",4,0.159
"1948:TheSnakePit",5,0
"1948:TheSnakePit",6,0
"1948:TheSnakePit",7,0
"1948:TheSnakePit",8,0
"1948:TheSnakePit",9,0
"1948:TheSnakePit",10,0
"1948:TheSnakePit",11,0.165
"1948:TheSnakePit",12,0
"1948:TheSnakePit",13,0
"1948:TheSnakePit",14,0
"1948:TheSnakePit",15,0
"1948:TheSnakePit",16,0
"1948:TheSnakePit",17,0.009
"1948:TheSnakePit",18,0
"1948:TheSnakePit",19,0
"1948:TheSnakePit",20,0
"1948:TheSnakePit",21,0
"1948:TheSnakePit",22,0.113
"1948:TheSnakePit",23,0
"1948:TheSnakePit",24,0
"1948:TheSnakePit",25,0.009
"1948:TheSnakePit",26,0
"1948:TheSnakePit",27,0
"1948:TheSnakePit",28,0
"1948:TheSnakePit",29,0
"1948:TheSnakePit",30,0.035
"1948:TheSnakePit",31,0
"1948:TheSnakePit",32,0
"1948:TheSnakePit",33,0
"1948:TheSnakePit",34,0.008
"1948:TheSnakePit",35,0
"1948:TheSnakePit",36,0
"1948:TheSnakePit",37,0.001
"1948:TheSnakePit",38,0
"1948:TheSnakePit",39,0
"1948:TheSnakePit",40,0.004
"1948:TheSnakePit",41,0.178
"1948:TheSnakePit",42,0.277
"1948:TheSnakePit",43,0.026
"1948:TheSnakePit",44,0
"1948:TheSnakePit",45,0.001
"1948:TheSnakePit",46,0
"1948:TheSnakePit",47,0
"1948:TheSnakePit",48,0
"1948:TheSnakePit",49,0.013
"1948:TheSnakePit",50,0
"1948:TheTreasureoftheSierraMadre",1,0.018
"1948:TheTreasureoftheSierraMadre",2,0.071
"1948:TheTreasureoftheSierraMadre",3,0
"1948:TheTreasureoftheSierraMadre",4,0.102
"1948:TheTreasureoftheSierraMadre",5,0.018
"1948:TheTreasureoftheSierraMadre",6,0.006
"1948:TheTreasureoftheSierraMadre",7,0.001
"1948:TheTreasureoftheSierraMadre",8,0
"1948:TheTreasureoftheSierraMadre",9,0
"1948:TheTreasureoftheSierraMadre",10,0
"1948:TheTreasureoftheSierraMadre",11,0.367
"1948:TheTreasureoftheSierraMadre",12,0
"1948:TheTreasureoftheSierraMadre",13,0
"1948:TheTreasureoftheSierraMadre",14,0
"1948:TheTreasureoftheSierraMadre",15,0.303
"1948:TheTreasureoftheSierraMadre",16,0.001
"1948:TheTreasureoftheSierraMadre",17,0.001
"1948:TheTreasureoftheSierraMadre",18,0
"1948:TheTreasureoftheSierraMadre",19,0.001
"1948:TheTreasureoftheSierraMadre",20,0
"1948:TheTreasureoftheSierraMadre",21,0
"1948:TheTreasureoftheSierraMadre",22,0.001
"1948:TheTreasureoftheSierraMadre",23,0.009
"1948:TheTreasureoftheSierraMadre",24,0
"1948:TheTreasureoftheSierraMadre",25,0
"1948:TheTreasureoftheSierraMadre",26,0
"1948:TheTreasureoftheSierraMadre",27,0
"1948:TheTreasureoftheSierraMadre",28,0
"1948:TheTreasureoftheSierraMadre",29,0.025
"1948:TheTreasureoftheSierraMadre",30,0.001
"1948:TheTreasureoftheSierraMadre",31,0.02
"1948:TheTreasureoftheSierraMadre",32,0.002
"1948:TheTreasureoftheSierraMadre",33,0
"1948:TheTreasureoftheSierraMadre",34,0
"1948:TheTreasureoftheSierraMadre",35,0
"1948:TheTreasureoftheSierraMadre",36,0
"1948:TheTreasureoftheSierraMadre",37,0
"1948:TheTreasureoftheSierraMadre",38,0
"1948:TheTreasureoftheSierraMadre",39,0
"1948:TheTreasureoftheSierraMadre",40,0.052
"1948:TheTreasureoftheSierraMadre",41,0
"1948:TheTreasureoftheSierraMadre",42,0.001
"1948:TheTreasureoftheSierraMadre",43,0
"1948:TheTreasureoftheSierraMadre",44,0
"1948:TheTreasureoftheSierraMadre",45,0.001
"1948:TheTreasureoftheSierraMadre",46,0
"1948:TheTreasureoftheSierraMadre",47,0
"1948:TheTreasureoftheSierraMadre",48,0
"1948:TheTreasureoftheSierraMadre",49,0
"1948:TheTreasureoftheSierraMadre",50,0
"1949:ALettertoThreeWives",1,0
"1949:ALettertoThreeWives",2,0.003
"1949:ALettertoThreeWives",3,0.042
"1949:ALettertoThreeWives",4,0.087
"1949:ALettertoThreeWives",5,0
"1949:ALettertoThreeWives",6,0.012
"1949:ALettertoThreeWives",7,0.001
"1949:ALettertoThreeWives",8,0.014
"1949:ALettertoThreeWives",9,0.1
"1949:ALettertoThreeWives",10,0
"1949:ALettertoThreeWives",11,0.271
"1949:ALettertoThreeWives",12,0.001
"1949:ALettertoThreeWives",13,0.003
"1949:ALettertoThreeWives",14,0
"1949:ALettertoThreeWives",15,0
"1949:ALettertoThreeWives",16,0.001
"1949:ALettertoThreeWives",17,0.001
"1949:ALettertoThreeWives",18,0.045
"1949:ALettertoThreeWives",19,0.006
"1949:ALettertoThreeWives",20,0
"1949:ALettertoThreeWives",21,0
"1949:ALettertoThreeWives",22,0.002
"1949:ALettertoThreeWives",23,0
"1949:ALettertoThreeWives",24,0.005
"1949:ALettertoThreeWives",25,0
"1949:ALettertoThreeWives",26,0
"1949:ALettertoThreeWives",27,0
"1949:ALettertoThreeWives",28,0
"1949:ALettertoThreeWives",29,0.002
"1949:ALettertoThreeWives",30,0.021
"1949:ALettertoThreeWives",31,0
"1949:ALettertoThreeWives",32,0.004
"1949:ALettertoThreeWives",33,0.018
"1949:ALettertoThreeWives",34,0.004
"1949:ALettertoThreeWives",35,0.013
"1949:ALettertoThreeWives",36,0
"1949:ALettertoThreeWives",37,0
"1949:ALettertoThreeWives",38,0.009
"1949:ALettertoThreeWives",39,0
"1949:ALettertoThreeWives",40,0.002
"1949:ALettertoThreeWives",41,0
"1949:ALettertoThreeWives",42,0.334
"1949:ALettertoThreeWives",43,0
"1949:ALettertoThreeWives",44,0
"1949:ALettertoThreeWives",45,0
"1949:ALettertoThreeWives",46,0
"1949:ALettertoThreeWives",47,0
"1949:ALettertoThreeWives",48,0
"1949:ALettertoThreeWives",49,0
"1949:ALettertoThreeWives",50,0
"1949:AlltheKing'sMen",1,0
"1949:AlltheKing'sMen",2,0.02
"1949:AlltheKing'sMen",3,0
"1949:AlltheKing'sMen",4,0.03
"1949:AlltheKing'sMen",5,0
"1949:AlltheKing'sMen",6,0
"1949:AlltheKing'sMen",7,0
"1949:AlltheKing'sMen",8,0
"1949:AlltheKing'sMen",9,0
"1949:AlltheKing'sMen",10,0.055
"1949:AlltheKing'sMen",11,0.131
"1949:AlltheKing'sMen",12,0
"1949:AlltheKing'sMen",13,0
"1949:AlltheKing'sMen",14,0.059
"1949:AlltheKing'sMen",15,0
"1949:AlltheKing'sMen",16,0
"1949:AlltheKing'sMen",17,0
"1949:AlltheKing'sMen",18,0.002
"1949:AlltheKing'sMen",19,0
"1949:AlltheKing'sMen",20,0.002
"1949:AlltheKing'sMen",21,0.002
"1949:AlltheKing'sMen",22,0.03
"1949:AlltheKing'sMen",23,0
"1949:AlltheKing'sMen",24,0.019
"1949:AlltheKing'sMen",25,0.001
"1949:AlltheKing'sMen",26,0.002
"1949:AlltheKing'sMen",27,0
"1949:AlltheKing'sMen",28,0
"1949:AlltheKing'sMen",29,0
"1949:AlltheKing'sMen",30,0
"1949:AlltheKing'sMen",31,0.025
"1949:AlltheKing'sMen",32,0
"1949:AlltheKing'sMen",33,0.026
"1949:AlltheKing'sMen",34,0
"1949:AlltheKing'sMen",35,0.03
"1949:AlltheKing'sMen",36,0.008
"1949:AlltheKing'sMen",37,0
"1949:AlltheKing'sMen",38,0
"1949:AlltheKing'sMen",39,0
"1949:AlltheKing'sMen",40,0
"1949:AlltheKing'sMen",41,0.022
"1949:AlltheKing'sMen",42,0.003
"1949:AlltheKing'sMen",43,0.055
"1949:AlltheKing'sMen",44,0
"1949:AlltheKing'sMen",45,0
"1949:AlltheKing'sMen",46,0.398
"1949:AlltheKing'sMen",47,0.034
"1949:AlltheKing'sMen",48,0
"1949:AlltheKing'sMen",49,0.015
"1949:AlltheKing'sMen",50,0.031
"1949:Battleground",1,0
"1949:Battleground",2,0.007
"1949:Battleground",3,0
"1949:Battleground",4,0.064
"1949:Battleground",5,0.002
"1949:Battleground",6,0.016
"1949:Battleground",7,0
"1949:Battleground",8,0
"1949:Battleground",9,0.001
"1949:Battleground",10,0
"1949:Battleground",11,0.319
"1949:Battleground",12,0
"1949:Battleground",13,0
"1949:Battleground",14,0
"1949:Battleground",15,0.005
"1949:Battleground",16,0
"1949:Battleground",17,0
"1949:Battleground",18,0
"1949:Battleground",19,0
"1949:Battleground",20,0.015
"1949:Battleground",21,0
"1949:Battleground",22,0
"1949:Battleground",23,0.299
"1949:Battleground",24,0.015
"1949:Battleground",25,0.004
"1949:Battleground",26,0
"1949:Battleground",27,0
"1949:Battleground",28,0
"1949:Battleground",29,0
"1949:Battleground",30,0
"1949:Battleground",31,0.003
"1949:Battleground",32,0
"1949:Battleground",33,0
"1949:Battleground",34,0
"1949:Battleground",35,0.016
"1949:Battleground",36,0
"1949:Battleground",37,0
"1949:Battleground",38,0
"1949:Battleground",39,0.068
"1949:Battleground",40,0.073
"1949:Battleground",41,0
"1949:Battleground",42,0.022
"1949:Battleground",43,0
"1949:Battleground",44,0
"1949:Battleground",45,0
"1949:Battleground",46,0
"1949:Battleground",47,0
"1949:Battleground",48,0
"1949:Battleground",49,0
"1949:Battleground",50,0.068
"1949:TheHeiress",1,0
"1949:TheHeiress",2,0.007
