"document","topic","gamma"
"1928:TheBroadwayMelody",1,0
"1928:TheBroadwayMelody",2,0
"1928:TheBroadwayMelody",3,0
"1928:TheBroadwayMelody",4,0
"1928:TheBroadwayMelody",5,0.001
"1928:TheBroadwayMelody",6,0
"1928:TheBroadwayMelody",7,0
"1928:TheBroadwayMelody",8,0.004
"1928:TheBroadwayMelody",9,0
"1928:TheBroadwayMelody",10,0
"1928:TheBroadwayMelody",11,0.463
"1928:TheBroadwayMelody",12,0
"1928:TheBroadwayMelody",13,0
"1928:TheBroadwayMelody",14,0
"1928:TheBroadwayMelody",15,0
"1928:TheBroadwayMelody",16,0
"1928:TheBroadwayMelody",17,0
"1928:TheBroadwayMelody",18,0
"1928:TheBroadwayMelody",19,0.22
"1928:TheBroadwayMelody",20,0
"1928:TheBroadwayMelody",21,0
"1928:TheBroadwayMelody",22,0.004
"1928:TheBroadwayMelody",23,0
"1928:TheBroadwayMelody",24,0.015
"1928:TheBroadwayMelody",25,0
"1928:TheBroadwayMelody",26,0.009
"1928:TheBroadwayMelody",27,0
"1928:TheBroadwayMelody",28,0
"1928:TheBroadwayMelody",29,0
"1928:TheBroadwayMelody",30,0
"1928:TheBroadwayMelody",31,0
"1928:TheBroadwayMelody",32,0
"1928:TheBroadwayMelody",33,0
"1928:TheBroadwayMelody",34,0.009
"1928:TheBroadwayMelody",35,0
"1928:TheBroadwayMelody",36,0.001
"1928:TheBroadwayMelody",37,0
"1928:TheBroadwayMelody",38,0
"1928:TheBroadwayMelody",39,0
"1928:TheBroadwayMelody",40,0
"1928:TheBroadwayMelody",41,0
"1928:TheBroadwayMelody",42,0.269
"1928:TheBroadwayMelody",43,0.002
"1928:TheBroadwayMelody",44,0
"1928:TheBroadwayMelody",45,0
"1928:TheBroadwayMelody",46,0
"1928:TheBroadwayMelody",47,0
"1928:TheBroadwayMelody",48,0
"1928:TheBroadwayMelody",49,0
"1928:TheBroadwayMelody",50,0
"1928:ThePatriot",1,0
"1928:ThePatriot",2,0.07
"1928:ThePatriot",3,0
"1928:ThePatriot",4,0.035
"1928:ThePatriot",5,0
"1928:ThePatriot",6,0
"1928:ThePatriot",7,0
"1928:ThePatriot",8,0
"1928:ThePatriot",9,0
"1928:ThePatriot",10,0.001
"1928:ThePatriot",11,0
"1928:ThePatriot",12,0
"1928:ThePatriot",13,0
"1928:ThePatriot",14,0.103
"1928:ThePatriot",15,0
"1928:ThePatriot",16,0
"1928:ThePatriot",17,0.154
"1928:ThePatriot",18,0
"1928:ThePatriot",19,0
"1928:ThePatriot",20,0
"1928:ThePatriot",21,0
"1928:ThePatriot",22,0.051
"1928:ThePatriot",23,0.358
"1928:ThePatriot",24,0
"1928:ThePatriot",25,0
"1928:ThePatriot",26,0
"1928:ThePatriot",27,0
"1928:ThePatriot",28,0
"1928:ThePatriot",29,0.04
