"","document","topic","gamma"
"317","1939:Of Mice and Men",17,0.165
"318","1939:Of Mice and Men",18,0.001
"319","1939:Of Mice and Men",19,0.208
"320","1939:Of Mice and Men",20,0.001
"321","1939:Of Mice and Men",21,0.001
"322","1939:Of Mice and Men",22,0.035
"323","1939:Of Mice and Men",23,0.001
"324","1939:Of Mice and Men",24,0.001
"325","1939:Of Mice and Men",25,0.001
"326","1939:Of Mice and Men",26,0.001
"327","1939:Of Mice and Men",27,0.354
"328","1939:Of Mice and Men",28,0.009
"329","1939:Of Mice and Men",29,0.001
"330","1939:Of Mice and Men",30,0.001
"331","1939:Of Mice and Men",31,0.001
"332","1939:Of Mice and Men",32,0.001
"333","1939:Of Mice and Men",33,0.001
"334","1939:Of Mice and Men",34,0.009
"335","1939:Of Mice and Men",35,0.001
"336","1939:Of Mice and Men",36,0.053
"337","1939:Of Mice and Men",37,0.001
"338","1939:Of Mice and Men",38,0.001
"339","1939:Of Mice and Men",39,0.001
"340","1939:Of Mice and Men",40,0.001
"341","1939:Of Mice and Men",41,0.001
"342","1939:Of Mice and Men",42,0.001
"343","1939:Of Mice and Men",43,0.053
"344","1939:Of Mice and Men",44,0.001
"345","1939:Of Mice and Men",45,0.001
"346","1939:Of Mice and Men",46,0.027
"347","1939:Of Mice and Men",47,0.001
"348","1939:Of Mice and Men",48,0.001
"349","1939:Of Mice and Men",49,0.001
"350","1939:Of Mice and Men",50,0.009
"351","1939:Stagecoach",1,0.017
"352","1939:Stagecoach",2,0.017
"353","1939:Stagecoach",3,0.017
"354","1939:Stagecoach",4,0.017
"355","1939:Stagecoach",5,0.017
"356","1939:Stagecoach",6,0.017
"357","1939:Stagecoach",7,0.017
"358","1939:Stagecoach",8,0.017
"359","1939:Stagecoach",9,0.017
"360","1939:Stagecoach",10,0.017
"361","1939:Stagecoach",11,0.017
"362","1939:Stagecoach",12,0.017
"363","1939:Stagecoach",13,0.017
"364","1939:Stagecoach",14,0.017
"365","1939:Stagecoach",15,0.017
"366","1939:Stagecoach",16,0.017
"367","1939:Stagecoach",17,0.017
"368","1939:Stagecoach",18,0.017
"369","1939:Stagecoach",19,0.017
"370","1939:Stagecoach",20,0.017
"371","1939:Stagecoach",21,0.183
"372","1939:Stagecoach",22,0.017
"373","1939:Stagecoach",23,0.017
"374","1939:Stagecoach",24,0.017
"375","1939:Stagecoach",25,0.017
"376","1939:Stagecoach",26,0.017
"377","1939:Stagecoach",27,0.017
"378","1939:Stagecoach",28,0.017
"379","1939:Stagecoach",29,0.017
"380","1939:Stagecoach",30,0.017
"381","1939:Stagecoach",31,0.017
"382","1939:Stagecoach",32,0.017
"383","1939:Stagecoach",33,0.017
"384","1939:Stagecoach",34,0.017
"385","1939:Stagecoach",35,0.017
"386","1939:Stagecoach",36,0.017
"387","1939:Stagecoach",37,0.017
"388","1939:Stagecoach",38,0.017
"389","1939:Stagecoach",39,0.017
"390","1939:Stagecoach",40,0.017
"391","1939:Stagecoach",41,0.017
"392","1939:Stagecoach",42,0.017
"393","1939:Stagecoach",43,0.017
"394","1939:Stagecoach",44,0.017
"395","1939:Stagecoach",45,0.017
"396","1939:Stagecoach",46,0.017
"397","1939:Stagecoach",47,0.017
"398","1939:Stagecoach",48,0.017
"399","1939:Stagecoach",49,0.017
"400","1939:Stagecoach",50,0.017
"401","1939:The Wizard of Oz",1,0
"402","1939:The Wizard of Oz",2,0.019
"403","1939:The Wizard of Oz",3,0
"404","1939:The Wizard of Oz",4,0.019
"405","1939:The Wizard of Oz",5,0.074
"406","1939:The Wizard of Oz",6,0
"407","1939:The Wizard of Oz",7,0
"408","1939:The Wizard of Oz",8,0
"409","1939:The Wizard of Oz",9,0.023
"410","1939:The Wizard of Oz",10,0.347
"411","1939:The Wizard of Oz",11,0
"412","1939:The Wizard of Oz",12,0
"413","1939:The Wizard of Oz",13,0
"414","1939:The Wizard of Oz",14,0
"415","1939:The Wizard of Oz",15,0.014
"416","1939:The Wizard of Oz",16,0.005
"417","1939:The Wizard of Oz",17,0
"418","1939:The Wizard of Oz",18,0.032
"419","1939:The Wizard of Oz",19,0
"420","1939:The Wizard of Oz",20,0
"421","1939:The Wizard of Oz",21,0
"422","1939:The Wizard of Oz",22,0.183
"423","1939:The Wizard of Oz",23,0
"424","1939:The Wizard of Oz",24,0
"425","1939:The Wizard of Oz",25,0.115
"426","1939:The Wizard of Oz",26,0
"427","1939:The Wizard of Oz",27,0
"428","1939:The Wizard of Oz",28,0
"429","1939:The Wizard of Oz",29,0.023
"430","1939:The Wizard of Oz",30,0
"431","1939:The Wizard of Oz",31,0
"432","1939:The Wizard of Oz",32,0
"433","1939:The Wizard of Oz",33,0.01
"434","1939:The Wizard of Oz",34,0.092
"435","1939:The Wizard of Oz",35,0.005
"436","1939:The Wizard of Oz",36,0
"437","1939:The Wizard of Oz",37,0
"438","1939:The Wizard of Oz",38,0
"439","1939:The Wizard of Oz",39,0
"440","1939:The Wizard of Oz",40,0
"441","1939:The Wizard of Oz",41,0
"442","1939:The Wizard of Oz",42,0
"443","1939:The Wizard of Oz",43,0
"444","1939:The Wizard of Oz",44,0
"445","1939:The Wizard of Oz",45,0
"446","1939:The Wizard of Oz",46,0.01
"447","1939:The Wizard of Oz",47,0
"448","1939:The Wizard of Oz",48,0
"449","1939:The Wizard of Oz",49,0
"450","1939:The Wizard of Oz",50,0.014
"451","1939:Wuthering Heights",1,0.017
"452","1939:Wuthering Heights",2,0.017
"453","1939:Wuthering Heights",3,0.017
"454","1939:Wuthering Heights",4,0.017
"455","1939:Wuthering Heights",5,0.017
"456","1939:Wuthering Heights",6,0.017
"457","1939:Wuthering Heights",7,0.017
"458","1939:Wuthering Heights",8,0.017
"459","1939:Wuthering Heights",9,0.017
"460","1939:Wuthering Heights",10,0.017
"461","1939:Wuthering Heights",11,0.017
"462","1939:Wuthering Heights",12,0.017
"463","1939:Wuthering Heights",13,0.017
"464","1939:Wuthering Heights",14,0.017
"465","1939:Wuthering Heights",15,0.017
"466","1939:Wuthering Heights",16,0.017
"467","1939:Wuthering Heights",17,0.017
"468","1939:Wuthering Heights",18,0.017
"469","1939:Wuthering Heights",19,0.017
"470","1939:Wuthering Heights",20,0.017
"471","1939:Wuthering Heights",21,0.183
"472","1939:Wuthering Heights",22,0.017
"473","1939:Wuthering Heights",23,0.017
"474","1939:Wuthering Heights",24,0.017
"475","1939:Wuthering Heights",25,0.017
"476","1939:Wuthering Heights",26,0.017
"477","1939:Wuthering Heights",27,0.017
"478","1939:Wuthering Heights",28,0.017
"479","1939:Wuthering Heights",29,0.017
"480","1939:Wuthering Heights",30,0.017
"481","1939:Wuthering Heights",31,0.017
"482","1939:Wuthering Heights",32,0.017
"483","1939:Wuthering Heights",33,0.017
"484","1939:Wuthering Heights",34,0.017
"485","1939:Wuthering Heights",35,0.017
"486","1939:Wuthering Heights",36,0.017
"487","1939:Wuthering Heights",37,0.017
"488","1939:Wuthering Heights",38,0.017
"489","1939:Wuthering Heights",39,0.017
"490","1939:Wuthering Heights",40,0.017
