"","document","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","...52"
"24","1941:Here Comes Mr. Jordan",0.026,0.06,0,0,0,0,0,0,0.012,0.119,0.026,0,0.108,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0,0,0.008,0,0,0,0,0,0,0,0.432,0,0,0.082,0.09,0,0.004,0,0.004,0,0,0,0,2
"25","1941:Hold Back the Dawn",0.017,0.017,0.017,0.017,0.017,0.017,0.183,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,20
"26","1941:How Green Was My Valley",0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.183,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,21
"27","1941:One Foot in Heaven",0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.183,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,2
"28","1941:Sergeant York",0.048,0,0,0,0,0,0,0,0.004,0,0,0,0,0,0,0.22,0.041,0.009,0,0.108,0,0.089,0,0,0,0,0.22,0.001,0.057,0,0.001,0.001,0.003,0.001,0.001,0.024,0,0,0,0.015,0.031,0.006,0.001,0,0,0,0.022,0.022,0,0.07,6
"29","1941:Suspicion",0.001,0.001,0.001,0.001,0.001,0.028,0.001,0.001,0.001,0.001,0.001,0.028,0.001,0.001,0.188,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.181,0.063,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.056,0.001,0.001,0.001,0.07,0.001,0.001,0.098,0.001,0.244,0.001,0.015,0.001,0.001,12
"30","1941:The Little Foxes",0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.183,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,21
"31","1941:The Maltese Falcon",0,0.023,0.128,0,0,0.01,0,0,0.003,0.008,0.005,0,0,0,0.115,0.003,0.003,0,0.026,0,0,0.1,0.003,0.084,0,0,0.049,0,0.008,0.013,0,0,0,0,0,0.039,0,0,0,0.207,0,0,0,0.141,0,0,0.026,0,0,0,22
"32","1942:Casablanca",0,0,0.016,0,0,0.064,0,0,0,0.192,0,0,0,0.14,0,0.004,0,0,0.004,0.259,0,0.04,0,0,0,0.004,0.02,0,0.052,0.06,0.004,0.004,0,0,0,0,0,0,0.032,0,0.088,0,0,0,0,0,0,0,0,0,8
"33","1942:In Which We Serve",0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.183,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,2
"34","1942:Kings Row",0,0.207,0,0,0,0.123,0.002,0,0,0,0,0,0,0,0.066,0,0,0,0.015,0,0,0.154,0,0,0,0.055,0.004,0,0,0.04,0,0.057,0,0.169,0,0,0.047,0,0,0,0.053,0,0,0,0,0,0,0,0,0,1
