"movielink","url_movie","url_synopsis","title","year"
"/title/tt2125435/?ref_=ttls_li_tt","https://www.imdb.com/title/tt2125435/","https://www.imdb.com/title/tt2125435/plotsummary/","Beasts of the Southern Wild","2012"
"/title/tt1790885/?ref_=ttls_li_tt","https://www.imdb.com/title/tt1790885/","https://www.imdb.com/title/tt1790885/plotsummary/","Zero Dark Thirty","2012"
"/title/tt1602620/?ref_=ttls_li_tt","https://www.imdb.com/title/tt1602620/","https://www.imdb.com/title/tt1602620/plotsummary/","Amour","2012"
"/title/tt1045658/?ref_=ttls_li_tt","https://www.imdb.com/title/tt1045658/","https://www.imdb.com/title/tt1045658/plotsummary/","Silver Linings Playbook","2012"
"/title/tt0443272/?ref_=ttls_li_tt","https://www.imdb.com/title/tt0443272/","https://www.imdb.com/title/tt0443272/plotsummary/","Lincoln","2012"
"/title/tt0454876/?ref_=ttls_li_tt","https://www.imdb.com/title/tt0454876/","https://www.imdb.com/title/tt0454876/plotsummary/","Life of Pi","2012"
"/title/tt1707386/?ref_=ttls_li_tt","https://www.imdb.com/title/tt1707386/","https://www.imdb.com/title/tt1707386/plotsummary/","Les Misérables","2012"
"/title/tt1853728/?ref_=ttls_li_tt","https://www.imdb.com/title/tt1853728/","https://www.imdb.com/title/tt1853728/plotsummary/","Django Unchained","2012"
"/title/tt1655442/?ref_=ttls_li_tt","https://www.imdb.com/title/tt1655442/","https://www.imdb.com/title/tt1655442/plotsummary/","The Artist","2011"
"/title/tt0478304/?ref_=ttls_li_tt","https://www.imdb.com/title/tt0478304/","https://www.imdb.com/title/tt0478304/plotsummary/","The Tree of Life","2011"
"/title/tt1033575/?ref_=ttls_li_tt","https://www.imdb.com/title/tt1033575/","https://www.imdb.com/title/tt1033575/plotsummary/","The Descendants","2011"
"/title/tt0477302/?ref_=ttls_li_tt","https://www.imdb.com/title/tt0477302/","https://www.imdb.com/title/tt0477302/plotsummary/","Extremely Loud & Incredibly Close","2011"
"/title/tt1454029/?ref_=ttls_li_tt","https://www.imdb.com/title/tt1454029/","https://www.imdb.com/title/tt1454029/plotsummary/","The Help","2011"
"/title/tt0970179/?ref_=ttls_li_tt","https://www.imdb.com/title/tt0970179/","https://www.imdb.com/title/tt0970179/plotsummary/","Hugo","2011"
"/title/tt1605783/?ref_=ttls_li_tt","https://www.imdb.com/title/tt1605783/","https://www.imdb.com/title/tt1605783/plotsummary/","Midnight in Paris","2011"
"/title/tt1210166/?ref_=ttls_li_tt","https://www.imdb.com/title/tt1210166/","https://www.imdb.com/title/tt1210166/plotsummary/","Moneyball","2011"
"/title/tt1568911/?ref_=ttls_li_tt","https://www.imdb.com/title/tt1568911/","https://www.imdb.com/title/tt1568911/plotsummary/","War Horse","2011"
"/title/tt1504320/?ref_=ttls_li_tt","https://www.imdb.com/title/tt1504320/","https://www.imdb.com/title/tt1504320/plotsummary/","The King's Speech","2010"
"/title/tt1542344/?ref_=ttls_li_tt","https://www.imdb.com/title/tt1542344/","https://www.imdb.com/title/tt1542344/plotsummary/","127 Hours","2010"
"/title/tt0947798/?ref_=ttls_li_tt","https://www.imdb.com/title/tt0947798/","https://www.imdb.com/title/tt0947798/plotsummary/","Black Swan","2010"
"/title/tt0964517/?ref_=ttls_li_tt","https://www.imdb.com/title/tt0964517/","https://www.imdb.com/title/tt0964517/plotsummary/","The Fighter","2010"
"/title/tt1375666/?ref_=ttls_li_tt","https://www.imdb.com/title/tt1375666/","https://www.imdb.com/title/tt1375666/plotsummary/","Inception","2010"
"/title/tt0842926/?ref_=ttls_li_tt","https://www.imdb.com/title/tt0842926/","https://www.imdb.com/title/tt0842926/plotsummary/","The Kids Are All Right","2010"
"/title/tt1285016/?ref_=ttls_li_tt","https://www.imdb.com/title/tt1285016/","https://www.imdb.com/title/tt1285016/plotsummary/","The Social Network","2010"
"/title/tt0435761/?ref_=ttls_li_tt","https://www.imdb.com/title/tt0435761/","https://www.imdb.com/title/tt0435761/plotsummary/","Toy Story 3","2010"
"/title/tt1403865/?ref_=ttls_li_tt","https://www.imdb.com/title/tt1403865/","https://www.imdb.com/title/tt1403865/plotsummary/","True Grit","2010"
"/title/tt0887912/?ref_=ttls_li_tt","https://www.imdb.com/title/tt0887912/","https://www.imdb.com/title/tt0887912/plotsummary/","The Hurt Locker","2008"
"/title/tt1019452/?ref_=ttls_li_tt","https://www.imdb.com/title/tt1019452/","https://www.imdb.com/title/tt1019452/plotsummary/","A Serious Man","2009"
"/title/tt1174732/?ref_=ttls_li_tt","https://www.imdb.com/title/tt1174732/","https://www.imdb.com/title/tt1174732/plotsummary/","An Education","2009"
"/title/tt0499549/?ref_=ttls_li_tt","https://www.imdb.com/title/tt0499549/","https://www.imdb.com/title/tt0499549/plotsummary/","Avatar","2009"
"/title/tt1136608/?ref_=ttls_li_tt","https://www.imdb.com/title/tt1136608/","https://www.imdb.com/title/tt1136608/plotsummary/","District 9","2009"
"/title/tt0361748/?ref_=ttls_li_tt","https://www.imdb.com/title/tt0361748/","https://www.imdb.com/title/tt0361748/plotsummary/","Inglourious Basterds","2009"
"/title/tt0929632/?ref_=ttls_li_tt","https://www.imdb.com/title/tt0929632/","https://www.imdb.com/title/tt0929632/plotsummary/","Precious","2009"
"/title/tt0878804/?ref_=ttls_li_tt","https://www.imdb.com/title/tt0878804/","https://www.imdb.com/title/tt0878804/plotsummary/","The Blind Side","2009"
"/title/tt1049413/?ref_=ttls_li_tt","https://www.imdb.com/title/tt1049413/","https://www.imdb.com/title/tt1049413/plotsummary/","Up","2009"
"/title/tt1193138/?ref_=ttls_li_tt","https://www.imdb.com/title/tt1193138/","https://www.imdb.com/title/tt1193138/plotsummary/","Up in the Air","2009"
"/title/tt1010048/?ref_=ttls_li_tt","https://www.imdb.com/title/tt1010048/","https://www.imdb.com/title/tt1010048/plotsummary/","Slumdog Millionaire","2008"
"/title/tt0421715/?ref_=ttls_li_tt","https://www.imdb.com/title/tt0421715/","https://www.imdb.com/title/tt0421715/plotsummary/","The Curious Case of Benjamin Button","2008"
"/title/tt0870111/?ref_=ttls_li_tt","https://www.imdb.com/title/tt0870111/","https://www.imdb.com/title/tt0870111/plotsummary/","Frost/Nixon","2008"
"/title/tt1013753/?ref_=ttls_li_tt","https://www.imdb.com/title/tt1013753/","https://www.imdb.com/title/tt1013753/plotsummary/","Milk","2008"
"/title/tt0976051/?ref_=ttls_li_tt","https://www.imdb.com/title/tt0976051/","https://www.imdb.com/title/tt0976051/plotsummary/","The Reader","2008"
"/title/tt0477348/?ref_=ttls_li_tt","https://www.imdb.com/title/tt0477348/","https://www.imdb.com/title/tt0477348/plotsummary/","No Country for Old Men","2007"
"/title/tt0783233/?ref_=ttls_li_tt","https://www.imdb.com/title/tt0783233/","https://www.imdb.com/title/tt0783233/plotsummary/","Atonement","2007"
"/title/tt0467406/?ref_=ttls_li_tt","https://www.imdb.com/title/tt0467406/","https://www.imdb.com/title/tt0467406/plotsummary/","Juno","2007"
"/title/tt0465538/?ref_=ttls_li_tt","https://www.imdb.com/title/tt0465538/","https://www.imdb.com/title/tt0465538/plotsummary/","Michael Clayton","2007"
"/title/tt0469494/?ref_=ttls_li_tt","https://www.imdb.com/title/tt0469494/","https://www.imdb.com/title/tt0469494/plotsummary/","There Will Be Blood","2007"
"/title/tt0407887/?ref_=ttls_li_tt","https://www.imdb.com/title/tt0407887/","https://www.imdb.com/title/tt0407887/plotsummary/","The Departed","2006"
"/title/tt0449467/?ref_=ttls_li_tt","https://www.imdb.com/title/tt0449467/","https://www.imdb.com/title/tt0449467/plotsummary/","Babel","2006"
"/title/tt0498380/?ref_=ttls_li_tt","https://www.imdb.com/title/tt0498380/","https://www.imdb.com/title/tt0498380/plotsummary/","Letters from Iwo Jima","2006"
"/title/tt0449059/?ref_=ttls_li_tt","https://www.imdb.com/title/tt0449059/","https://www.imdb.com/title/tt0449059/plotsummary/","Little Miss Sunshine","2006"
"/title/tt0436697/?ref_=ttls_li_tt","https://www.imdb.com/title/tt0436697/","https://www.imdb.com/title/tt0436697/plotsummary/","The Queen","2006"
"/title/tt0375679/?ref_=ttls_li_tt","https://www.imdb.com/title/tt0375679/","https://www.imdb.com/title/tt0375679/plotsummary/","Crash","2004"
"/title/tt0388795/?ref_=ttls_li_tt","https://www.imdb.com/title/tt0388795/","https://www.imdb.com/title/tt0388795/plotsummary/","Brokeback Mountain","2005"
"/title/tt0379725/?ref_=ttls_li_tt","https://www.imdb.com/title/tt0379725/","https://www.imdb.com/title/tt0379725/plotsummary/","Capote","2005"
"/title/tt0433383/?ref_=ttls_li_tt","https://www.imdb.com/title/tt0433383/","https://www.imdb.com/title/tt0433383/plotsummary/","Good Night, and Good Luck.","2005"
"/title/tt0408306/?ref_=ttls_li_tt","https://www.imdb.com/title/tt0408306/","https://www.imdb.com/title/tt0408306/plotsummary/","Munich","2005"
"/title/tt0405159/?ref_=ttls_li_tt","https://www.imdb.com/title/tt0405159/","https://www.imdb.com/title/tt0405159/plotsummary/","Million Dollar Baby","2004"
"/title/tt0338751/?ref_=ttls_li_tt","https://www.imdb.com/title/tt0338751/","https://www.imdb.com/title/tt0338751/plotsummary/","The Aviator","2004"
"/title/tt0308644/?ref_=ttls_li_tt","https://www.imdb.com/title/tt0308644/","https://www.imdb.com/title/tt0308644/plotsummary/","Finding Neverland","2004"
"/title/tt0350258/?ref_=ttls_li_tt","https://www.imdb.com/title/tt0350258/","https://www.imdb.com/title/tt0350258/plotsummary/","Ray","2004"
"/title/tt0375063/?ref_=ttls_li_tt","https://www.imdb.com/title/tt0375063/","https://www.imdb.com/title/tt0375063/plotsummary/","Sideways","2004"
"/title/tt0167260/?ref_=ttls_li_tt","https://www.imdb.com/title/tt0167260/","https://www.imdb.com/title/tt0167260/plotsummary/","The Lord of the Rings: The Return of the King","2003"
"/title/tt0335266/?ref_=ttls_li_tt","https://www.imdb.com/title/tt0335266/","https://www.imdb.com/title/tt0335266/plotsummary/","Lost in Translation","2003"
"/title/tt0311113/?ref_=ttls_li_tt","https://www.imdb.com/title/tt0311113/","https://www.imdb.com/title/tt0311113/plotsummary/","Master and Commander: The Far Side of the World","2003"
"/title/tt0327056/?ref_=ttls_li_tt","https://www.imdb.com/title/tt0327056/","https://www.imdb.com/title/tt0327056/plotsummary/","Mystic River","2003"
"/title/tt0329575/?ref_=ttls_li_tt","https://www.imdb.com/title/tt0329575/","https://www.imdb.com/title/tt0329575/plotsummary/","Seabiscuit","2003"
"/title/tt0299658/?ref_=ttls_li_tt","https://www.imdb.com/title/tt0299658/","https://www.imdb.com/title/tt0299658/plotsummary/","Chicago","2002"
"/title/tt0217505/?ref_=ttls_li_tt","https://www.imdb.com/title/tt0217505/","https://www.imdb.com/title/tt0217505/plotsummary/","Gangs of New York","2002"
"/title/tt0274558/?ref_=ttls_li_tt","https://www.imdb.com/title/tt0274558/","https://www.imdb.com/title/tt0274558/plotsummary/","The Hours","2002"
"/title/tt0167261/?ref_=ttls_li_tt","https://www.imdb.com/title/tt0167261/","https://www.imdb.com/title/tt0167261/plotsummary/","The Lord of the Rings: The Two Towers","2002"
