"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49"
"22",0,0,0,0.024,0,0,0,0.001,0,0,0.021,0,0.001,0.002,0.001,0,0.013,0,0.011,0,0,0.219,0.015,0,0,0.004,0,0.049,0,0,0,0.006,0,0.006,0,0,0,0.146,0,0,0,0.438,0.005,0,0,0,0.037,0,0
"23",0,0,0.038,0.091,0,0,0,0,0,0.001,0.596,0.009,0.024,0,0,0.001,0.03,0,0,0.002,0,0.001,0,0,0,0.001,0,0,0.018,0,0,0,0,0.001,0.001,0,0.017,0,0,0,0,0.114,0.005,0.035,0,0,0,0,0.01
"24",0.001,0.025,0,0.06,0,0,0.001,0,0,0.017,0.458,0.005,0,0,0.001,0,0,0.002,0,0,0,0.045,0,0,0.01,0.003,0,0.009,0.001,0.021,0,0.004,0,0.068,0,0.01,0.007,0.001,0,0,0,0.22,0.007,0,0,0,0,0.018,0
"25",0,0,0,0.021,0,0.007,0.009,0,0,0,0,0.011,0,0,0.227,0,0.003,0,0,0.342,0.006,0,0.003,0,0,0,0,0.006,0.006,0,0,0.008,0.003,0,0,0.001,0,0.133,0,0,0.011,0.197,0,0,0,0,0,0,0
"26",0.011,0,0,0.116,0,0,0,0.001,0,0,0.029,0,0,0.029,0,0,0,0,0,0.55,0.004,0,0,0,0,0.014,0,0.025,0,0,0,0.011,0,0,0,0,0.002,0,0.087,0,0,0.089,0,0,0.006,0.007,0,0,0
"27",0,0.008,0,0.04,0,0.002,0,0.037,0,0,0.141,0,0,0,0.041,0.001,0,0,0.001,0,0,0.14,0,0,0,0.014,0,0,0,0.053,0.003,0.008,0.006,0.001,0,0,0,0.027,0,0,0,0.414,0.014,0,0,0,0.047,0,0
"28",0,0.002,0,0.033,0,0,0,0,0.006,0,0.091,0,0,0.385,0.001,0.001,0,0,0,0.001,0,0.017,0,0.081,0.004,0.019,0.01,0.003,0,0.003,0,0.001,0,0,0,0.001,0,0.014,0,0,0,0.046,0.015,0,0,0.233,0,0,0
"29",0.002,0,0,0.207,0,0,0,0,0,0,0,0,0,0.041,0,0,0.001,0.003,0,0.085,0,0.031,0.001,0,0.002,0,0,0.183,0,0,0.001,0,0,0,0,0.003,0,0.124,0,0,0,0.315,0,0.001,0,0,0,0,0
"30",0.009,0,0.001,0.149,0,0,0,0,0,0,0.092,0,0,0.04,0,0.002,0,0,0.041,0,0,0.002,0,0,0,0.003,0.001,0.001,0,0.005,0.003,0,0.001,0,0.001,0,0,0.148,0,0,0,0.414,0.015,0.027,0,0,0,0,0.026
"31",0.001,0,0.005,0.221,0,0,0,0.199,0,0,0,0,0.008,0,0,0,0.017,0,0.001,0.154,0,0.082,0.005,0,0,0,0,0.001,0.003,0,0,0.013,0.013,0,0.002,0,0,0.097,0.143,0,0,0.028,0,0,0.001,0,0,0.008,0
