"","document"
"379","2002:ThePianist"
"380","2003:LostinTranslation"
"381","2003:MasterandCommander:TheFarSideoftheWorld"
"382","2003:MysticRiver"
"383","2003:Seabiscuit"
"384","2003:TheLordoftheRings:TheReturnoftheKing"
"385","2004:FindingNeverland"
"386","2004:Ray"
"387","2004:Sideways"
"388","2004:TheAviator"
"389","2005:BrokebackMountain"
"390","2005:Capote"
"391","2005:Crash"
"392","2005:Munich"
"393","2006:Babel"
"394","2006:LettersfromIwoJima"
"395","2006:LittleMissSunshine"
"396","2006:TheDeparted"
"397","2006:TheQueen"
"398","2007:Atonement"
"399","2007:Juno"
"400","2007:MichaelClayton"
"401","2007:NoCountryforOldMen"
"402","2007:ThereWillBeBlood"
"403","2008:Frost/Nixon"
"404","2008:Milk"
"405","2008:SlumdogMillionaire"
"406","2008:TheCuriousCaseofBenjaminButton"
"407","2008:TheReader"
"408","2009:AnEducation"
"409","2009:ASeriousMan"
"410","2009:Avatar"
"411","2009:District9"
"412","2009:InglouriousBasterds"
"413","2009:Precious:BasedontheNovel'Push'bySapphire"
"414","2009:TheBlindSide"
"415","2009:TheHurtLocker"
"416","2009:Up"
"417","2009:UpintheAir"
"418","2010:127Hours"
"419","2010:BlackSwan"
"420","2010:Inception"
"421","2010:TheFighter"
"422","2010:TheKidsAreAllRight"
"423","2010:TheKing'sSpeech"
"424","2010:TheSocialNetwork"
"425","2010:ToyStory3"
"426","2010:TrueGrit"
"427","2010:Winter'sBone"
"428","2011:ExtremelyLoud&IncrediblyClose"
"429","2011:Hugo"
"430","2011:MidnightinParis"
"431","2011:Moneyball"
"432","2011:TheArtist"
"433","2011:TheDescendants"
"434","2011:TheHelp"
"435","2011:TheTreeofLife"
"436","2011:WarHorse"
"437","2012:Amour"
"438","2012:Argo"
"439","2012:BeastsoftheSouthernWild"
"440","2012:DjangoUnchained"
"441","2012:LesMisérables"
"442","2012:LifeofPi"
"443","2012:Lincoln"
"444","2012:SilverLiningsPlaybook"
"445","2012:ZeroDarkThirty"
"446","2013:12YearsaSlave"
"447","2013:AmericanHustle"
"448","2013:CaptainPhillips"
"449","2013:DallasBuyersClub"
"450","2013:Gravity"
"451","2013:Her"
"452","2013:Nebraska"
"453","2013:Philomena"
"454","2013:TheWolfofWallStreet"
"455","2014:AmericanSniper"
"456","2014:Birdmanor(TheUnexpectedVirtueofIgnorance)"
"457","2014:Boyhood"
"458","2014:Selma"
"459","2014:TheGrandBudapestHotel"
"460","2014:TheImitationGame"
"461","2014:TheTheoryofEverything"
"462","2014:Whiplash"
"463","2015:BridgeofSpies"
"464","2015:Brooklyn"
"465","2015:MadMax:FuryRoad"
"466","2015:Room"
"467","2015:Spotlight"
"468","2015:TheBigShort"
"469","2015:TheMartian"
"470","2015:TheRevenant"
"471","2016:Fences"
"472","2016:HacksawRidge"
"473","2016:HellorHighWater"
"474","2016:HiddenFigures"
"475","2016:LaLaLand"
"476","2016:Lion"
"477","2016:ManchesterbytheSea"
"478","2016:Moonlight"
"479","2017:CallMebyYourName"
"480","2017:DarkestHour"
"481","2017:Dunkirk"
"482","2017:GetOut"
"483","2017:LadyBird"
"484","2017:PhantomThread"
"485","2017:ThePost"
"486","2017:TheShapeofWater"
"487","2018:AStarIsBorn"
"488","2018:BlacKkKlansman"
"489","2018:BlackPanther"
"490","2018:BohemianRhapsody"
"491","2018:GreenBook"
"492","2018:Roma"
"493","2018:TheFavourite"
"494","2018:Vice"
"495","2019:1917"
"496","2019:FordvFerrari"
"497","2019:JojoRabbit"
"498","2019:Joker"
"499","2019:LittleWomen"
"500","2019:MarriageStory"
"501","2019:Parasite"
"502","2019:TheIrishman"
"503","2020:JudasandtheBlackMessiah"
"504","2020:Mank"
"505","2020:Minari"
"506","2020:Nomadland"
"507","2020:PromisingYoungWoman"
"508","2020:SoundofMetal"
"509","2020:TheFather"
"510","2020:TheTrialoftheChicago7"
